epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.1182,2.37062,0.09375,0.625,2.39296,7.14e-05,7.14e-05,7.14e-05
2,79.8353,2.03123,0.28125,0.75,1.97866,0.000148456,0.000148456,0.000148456
3,117.04,1.66776,0.625,0.875,1.57645,0.000223956,0.000223956,0.000223956
4,153.515,1.24367,0.71875,0.875,1.2056,0.000297902,0.000297902,0.000297902
5,190.448,0.91249,0.75,0.9375,0.92412,0.000370292,0.000370292,0.000370292
6,227.368,0.59477,0.71875,0.9375,0.85594,0.000441127,0.000441127,0.000441127
7,264.414,0.40565,0.75,0.90625,0.89201,0.000510407,0.000510407,0.000510407
8,297.733,0.27464,0.65625,0.9375,1.01942,0.000578132,0.000578132,0.000578132
9,334.458,0.17271,0.6875,0.9375,1.15073,0.000644302,0.000644302,0.000644302
10,369.657,0.25626,0.6875,0.9375,1.20969,0.000650383,0.000650383,0.000650383
11,404.971,0.24676,0.6875,0.96875,1.22307,0.000643314,0.000643314,0.000643314
12,439.514,0.14237,0.75,0.96875,1.05134,0.000636245,0.000636245,0.000636245
13,474.207,0.21128,0.75,0.9375,0.8513,0.000629177,0.000629177,0.000629177
14,508.466,0.11818,0.8125,0.90625,0.77944,0.000622108,0.000622108,0.000622108
15,543.835,0.19057,0.84375,0.9375,0.65645,0.00061504,0.00061504,0.00061504
16,579.76,0.15673,0.84375,0.96875,0.70359,0.000607971,0.000607971,0.000607971
17,615.125,0.11591,0.84375,0.96875,0.73467,0.000600902,0.000600902,0.000600902
18,652.186,0.0769,0.84375,0.96875,0.79816,0.000593834,0.000593834,0.000593834
19,688.845,0.12078,0.78125,0.96875,0.89583,0.000586765,0.000586765,0.000586765
20,729.325,0.11309,0.875,0.96875,0.70215,0.000579697,0.000579697,0.000579697
21,766.665,0.09067,0.875,0.96875,0.65938,0.000572628,0.000572628,0.000572628
22,801.879,0.12619,0.84375,0.96875,0.76138,0.000565559,0.000565559,0.000565559
23,835.939,0.07411,0.78125,0.96875,0.87382,0.000558491,0.000558491,0.000558491
24,871.319,0.045,0.8125,0.96875,0.96478,0.000551422,0.000551422,0.000551422
25,905.875,0.04301,0.78125,0.96875,0.99322,0.000544354,0.000544354,0.000544354
26,939.119,0.02004,0.75,0.96875,0.87469,0.000537285,0.000537285,0.000537285
27,972.086,0.03118,0.75,0.9375,0.88513,0.000530216,0.000530216,0.000530216
28,1007.51,0.03202,0.75,0.9375,0.92263,0.000523148,0.000523148,0.000523148
29,1041.34,0.0558,0.75,0.9375,0.85678,0.000516079,0.000516079,0.000516079
30,1074.64,0.06076,0.78125,0.9375,0.78877,0.000509011,0.000509011,0.000509011
31,1109.96,0.08109,0.71875,0.9375,0.85803,0.000501942,0.000501942,0.000501942
32,1145.55,0.02809,0.71875,0.96875,0.92746,0.000494873,0.000494873,0.000494873
33,1183.62,0.08876,0.75,0.96875,0.91334,0.000487805,0.000487805,0.000487805
34,1215.96,0.05066,0.75,0.96875,0.99167,0.000480736,0.000480736,0.000480736
35,1246.4,0.07923,0.71875,0.96875,0.93751,0.000473668,0.000473668,0.000473668
36,1277.06,0.0386,0.71875,0.96875,0.98569,0.000466599,0.000466599,0.000466599
37,1307.64,0.05517,0.71875,0.96875,1.06807,0.00045953,0.00045953,0.00045953
38,1338.26,0.0379,0.78125,0.9375,1.05775,0.000452462,0.000452462,0.000452462
39,1369.03,0.05747,0.78125,0.9375,1.15827,0.000445393,0.000445393,0.000445393
40,1400.41,0.03676,0.78125,0.9375,1.27407,0.000438325,0.000438325,0.000438325
41,1432.55,0.04081,0.8125,0.9375,1.26489,0.000431256,0.000431256,0.000431256
42,1462.46,0.03994,0.8125,0.9375,1.29472,0.000424187,0.000424187,0.000424187
43,1501.65,0.03832,0.8125,0.96875,1.26857,0.000417119,0.000417119,0.000417119
44,1531.39,0.0174,0.8125,1,1.05414,0.00041005,0.00041005,0.00041005
45,1561.85,0.015,0.8125,1,0.99489,0.000402982,0.000402982,0.000402982
46,1593.25,0.02202,0.8125,1,0.93342,0.000395913,0.000395913,0.000395913
47,1623.84,0.0148,0.8125,1,1.04519,0.000388844,0.000388844,0.000388844
48,1653.39,0.04843,0.8125,1,0.94585,0.000381776,0.000381776,0.000381776
49,1683.19,0.01097,0.8125,1,0.9869,0.000374707,0.000374707,0.000374707
50,1714.07,0.04628,0.8125,1,0.95072,0.000367639,0.000367639,0.000367639
51,1744.49,0.03589,0.8125,1,0.93029,0.00036057,0.00036057,0.00036057
52,1775.14,0.01114,0.8125,1,0.93579,0.000353501,0.000353501,0.000353501
53,1805.74,0.02364,0.8125,1,0.9789,0.000346433,0.000346433,0.000346433
54,1836.77,0.04706,0.75,1,1.20221,0.000339364,0.000339364,0.000339364
55,1867.3,0.00996,0.78125,1,1.2893,0.000332296,0.000332296,0.000332296
56,1898.28,0.02249,0.78125,0.96875,1.20091,0.000325227,0.000325227,0.000325227
57,1935.27,0.01403,0.75,1,1.36649,0.000318158,0.000318158,0.000318158
58,1967.24,0.02478,0.75,1,1.34324,0.00031109,0.00031109,0.00031109
59,1997.52,0.00366,0.75,0.96875,1.3466,0.000304021,0.000304021,0.000304021
60,2029.84,0.013,0.78125,0.9375,1.17341,0.000296953,0.000296953,0.000296953
61,2061.44,0.01297,0.78125,0.96875,1.12749,0.000289884,0.000289884,0.000289884
62,2093.5,0.01579,0.8125,0.9375,1.06515,0.000282815,0.000282815,0.000282815
63,2125.61,0.01209,0.78125,0.9375,1.20483,0.000275747,0.000275747,0.000275747
64,2157.87,0.07905,0.78125,0.9375,1.26445,0.000268678,0.000268678,0.000268678
65,2189.15,0.0078,0.78125,0.9375,1.26407,0.00026161,0.00026161,0.00026161
66,2220.8,0.01863,0.8125,0.9375,1.26462,0.000254541,0.000254541,0.000254541
67,2253.14,0.01835,0.78125,0.9375,1.36225,0.000247472,0.000247472,0.000247472
68,2283.46,0.01092,0.8125,0.9375,1.24401,0.000240404,0.000240404,0.000240404
69,2314.62,0.01024,0.8125,0.9375,1.27997,0.000233335,0.000233335,0.000233335
70,2345.2,0.01183,0.8125,0.9375,1.24245,0.000226267,0.000226267,0.000226267
71,2375.82,0.01307,0.8125,0.9375,1.26696,0.000219198,0.000219198,0.000219198
72,2406.27,0.009,0.8125,0.9375,1.28506,0.000212129,0.000212129,0.000212129
73,2436.2,0.00358,0.8125,0.9375,1.24703,0.000205061,0.000205061,0.000205061
74,2467.4,0.01382,0.8125,0.9375,1.23386,0.000197992,0.000197992,0.000197992
75,2498.1,0.0143,0.8125,0.9375,1.19999,0.000190924,0.000190924,0.000190924
76,2528.63,0.00559,0.8125,0.9375,1.08421,0.000183855,0.000183855,0.000183855
77,2558.86,0.00879,0.8125,0.9375,1.09019,0.000176786,0.000176786,0.000176786
78,2589.08,0.00729,0.8125,0.9375,1.14956,0.000169718,0.000169718,0.000169718
79,2619.31,0.00389,0.8125,0.9375,1.17447,0.000162649,0.000162649,0.000162649
80,2649.99,0.02593,0.8125,0.9375,1.0422,0.000155581,0.000155581,0.000155581
81,2680.29,0.00809,0.8125,0.9375,1.0377,0.000148512,0.000148512,0.000148512
82,2710.77,0.00651,0.8125,0.9375,0.99377,0.000141443,0.000141443,0.000141443
83,2741.27,0.03136,0.8125,0.9375,1.06247,0.000134375,0.000134375,0.000134375
84,2771.64,0.00642,0.8125,0.9375,1.07071,0.000127306,0.000127306,0.000127306
85,2802.86,0.00273,0.8125,0.9375,1.07839,0.000120238,0.000120238,0.000120238
86,2833.38,0.00556,0.8125,0.9375,1.03152,0.000113169,0.000113169,0.000113169
87,2863.71,0.00506,0.84375,0.90625,0.99476,0.0001061,0.0001061,0.0001061
88,2894.14,0.01961,0.84375,0.9375,1.0713,9.90318e-05,9.90318e-05,9.90318e-05
