epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.8225,2.31631,0.05882,0.58824,2.27127,9.996e-05,9.996e-05,9.996e-05
2,94.3238,1.84124,0.47059,0.76471,2.05836,0.00019886,0.00019886,0.00019886
3,139.088,1.35392,0.47059,0.88235,1.7107,0.000289279,0.000289279,0.000289279
4,182.868,0.86788,0.58824,0.88235,1.37144,0.000371214,0.000371214,0.000371214
5,226.645,0.53856,0.47059,0.82353,1.43489,0.000444668,0.000444668,0.000444668
6,269.934,0.39911,0.52941,0.88235,1.58777,0.000509639,0.000509639,0.000509639
7,312.566,0.28956,0.64706,0.82353,1.4772,0.000544354,0.000544354,0.000544354
8,355.247,0.22091,0.64706,0.88235,1.53105,0.000516079,0.000516079,0.000516079
9,397.756,0.18294,0.58824,0.82353,1.71848,0.000487805,0.000487805,0.000487805
10,441.422,0.12756,0.58824,0.82353,1.53515,0.00045953,0.00045953,0.00045953
11,484.561,0.10442,0.70588,0.88235,1.07325,0.000431256,0.000431256,0.000431256
12,527.261,0.11576,0.76471,0.88235,1.35206,0.000402982,0.000402982,0.000402982
13,570.222,0.11875,0.82353,0.88235,1.64766,0.000374707,0.000374707,0.000374707
14,615.773,0.13942,0.82353,0.88235,1.5294,0.000346433,0.000346433,0.000346433
15,658.972,0.05675,0.76471,0.82353,1.36741,0.000318158,0.000318158,0.000318158
16,703.108,0.12698,0.70588,0.82353,1.31205,0.000289884,0.000289884,0.000289884
17,746.932,0.0753,0.82353,0.82353,1.2478,0.00026161,0.00026161,0.00026161
18,791.94,0.05076,0.82353,0.88235,1.11773,0.000233335,0.000233335,0.000233335
19,836.17,0.07519,0.82353,0.88235,1.13292,0.000205061,0.000205061,0.000205061
20,879.795,0.08025,0.76471,0.88235,1.16237,0.000176786,0.000176786,0.000176786
21,924.743,0.07222,0.76471,0.88235,1.20834,0.000148512,0.000148512,0.000148512
22,970.411,0.07089,0.70588,0.88235,1.19795,0.000120238,0.000120238,0.000120238
23,1015.97,0.03105,0.70588,0.94118,1.27257,9.19632e-05,9.19632e-05,9.19632e-05
24,1061.38,0.03305,0.70588,0.94118,1.30792,6.36888e-05,6.36888e-05,6.36888e-05
25,1106.07,0.03975,0.70588,0.94118,1.30472,3.54144e-05,3.54144e-05,3.54144e-05
